time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
36.929808, Walk,2
36.929808,NO FEED,1
53.172096, Probe/Feed,1
53.571856,STILL,2
55.6852, Walk,2
55.970064,NO FEED,1
75.34312, Probe/Feed,1
75.63664,STILL,2
90.20128, Walk,2
90.678976,NO FEED,1
94.191168, Probe/Feed,1
94.538544,STILL,2
96.279728, Walk,2
96.464928,NO FEED,1
100.096528, Probe/Feed,1
100.6572,STILL,2
125.715792,NO FEED,1
134.647312, Probe/Feed,1
142.685248,NO FEED,1
150.93984, Probe/Feed,1
190.118368,NO FEED,1
199.666032, Probe/Feed,1
210.51904,NO FEED,1
222.178496, Probe/Feed,1
300.320983,END,0
